Loop 	Time(sec) 	Checksum
 s423	    14.361	2.736748
 s424	    14.991	822.364014
 s431	    37.332	1674287.625000
 s441	     7.725	196500.265625
 s451	     3.393	32007.896484
 s452	    17.746	32511.939453
 s453	    14.107	21.901442
 s471	     5.340	64004.925781
 s481	     6.189	196500.265625
 s491	     5.485	32001.640625
s4112	     4.560	1127128.875000
s4113	     5.181	32001.640625
s4114	     8.815	32000.000000
s4115	     6.349	1.038636
s4116	     5.095	0.753265
s4117	     5.328	32002.205078
s4121	     7.326	196500.265625
   va	    21.703	1.644725
  vag	     6.151	1.644725
  vas	     6.172	1.644725
  vif	     3.737	1.644725
  vpv	    33.791	1642244.625000
  vtv	    33.785	32000.000000
vpvtv	    18.430	689788.562500
vpvts	     3.560	175234766340096.000000
vpvpv	    18.423	1.644725
vtvtv	    18.409	32000.000000
vsumr	    63.452	10.950721
vdotr	    63.523	1.644725
 vbor	     3.051	31924.046875
